Pixel-X	Pixel-Y	Longitude	Latitude	radiance_1	radiance_2	radiance_3	radiance_4	radiance_5	radiance_6	radiance_7	radiance_8	radiance_9	radiance_10	radiance_11	radiance_12	radiance_13	radiance_14	radiance_15	l1_flags	detector_index	latitude	longitude	dem_alt	dem_rough	lat_corr	lon_corr	sun_zenith	sun_azimuth	view_zenith	view_azimuth	zonal_wind	merid_wind	atm_press	ozone	rel_hum
292.5	582.5	8.566909	53.989197	53.00225	47.832287	37.927097	34.161823	25.693003	16.572763	13.031886	11.870869	9.520239	6.489811	2.2004914	5.5542655	3.351744	3.0823767	2.2699738	0	720	53.989197	8.566909	-24.4375	0.1875	-2.8125E-7	-2.15625E-6	63.915993	158.96693	21.736311	103.38704	-3.278125	3.825	1019.8125	279.02966	66.52188
272.5	583.5	8.254061	54.02183	54.78352	49.94238	39.98911	36.035316	27.129723	17.49802	13.778326	12.62017	10.031266	6.671768	2.3335857	5.728631	3.4725916	3.1556213	2.340571	0	744	54.02183	8.254061	-24.25	0.0	0.0	0.0	64.012695	158.63658	23.220564	103.13553	-3.6000001	4.4125	1019.5563	278.3806	69.05
273.5	583.5	8.269501	54.01969	53.92131	48.7866	38.668495	34.707813	25.655685	16.19611	12.7442665	11.648854	9.362515	6.4984756	2.2182374	5.536103	3.3375266	3.0823767	2.2699738	0	736	54.01969	8.269501	-24.359375	0.0	0.0	0.0	64.007416	158.65283	23.146559	103.14802	-3.5839846	4.38125	1019.5688	278.41245	68.92071
274.5	583.5	8.284941	54.017555	53.684437	48.26703	37.7765	33.62654	24.386896	15.0989	11.778688	10.760794	8.712691	6.3165183	2.2182374	5.372635	3.2842114	3.015236	2.2591126	0	735	54.017555	8.284941	-24.46875	0.0	0.0	0.0	64.00214	158.66908	23.072556	103.160515	-3.5679688	4.35	1019.58124	278.4443	68.791405
275.5	583.5	8.300381	54.015415	53.599163	48.288235	37.7765	33.733597	24.545494	15.221723	11.88141	10.864863	8.782089	6.325183	2.2271104	5.383533	3.2877657	3.0457544	2.291696	2	734	54.015415	8.300381	-24.578125	0.0	0.0	0.0	63.996857	158.68532	22.99855	103.17301	-3.551953	4.31875	1019.59375	278.47614	68.66212
276.5	583.5	8.315822	54.01328	53.599163	48.288235	37.7765	33.733597	24.545494	15.221723	11.88141	10.864863	8.782089	6.325183	2.2271104	5.383533	3.2877657	3.0457544	2.291696	0	734	54.01328	8.315822	-24.6875	0.0	0.0	0.0	63.99158	158.70157	22.924547	103.18551	-3.5359375	4.2875	1019.60626	278.50797	68.53282
277.5	583.5	8.331262	54.011135	53.58969	48.39427	38.008186	33.979828	24.909338	15.557435	12.189572	11.100754	8.983976	6.368506	2.2359834	5.438022	3.3233092	3.0457544	2.280835	0	733	54.011135	8.331262	-24.796875	0.0	0.0	0.0	63.986298	158.71782	22.850542	103.198	-3.519922	4.25625	1019.6188	278.5398	68.40352
278.5	583.5	8.346703	54.009	53.599163	48.36246	38.01977	34.09759	25.049278	15.639317	12.230661	11.190948	9.002904	6.3771706	2.244856	5.44892	3.3233092	3.0518582	2.2971265	0	732	54.009	8.346703	-24.90625	0.0	0.0	0.0	63.981014	158.73405	22.776539	103.210495	-3.5039065	4.225	1019.6313	278.57166	68.27422
285.5	583.5	8.454784	53.994026	53.286495	48.129185	38.008186	34.119	25.413124	16.09785	12.579913	11.503157	9.242644	6.4031644	2.2004914	5.485246	3.3233092	3.0457544	2.264543	0	726	53.994026	8.454784	-25.671875	0.0	0.0	0.0	63.944057	158.84778	22.25851	103.29796	-3.3917968	4.00625	1019.71875	278.7945	67.36915
286.5	583.5	8.470224	53.99189	52.973824	47.63082	37.28996	33.337486	24.414885	15.262663	11.895105	10.857925	8.756854	6.2645307	2.1827457	5.3217783	3.2308962	2.9725099	2.2156682	0	725	53.99189	8.470224	-25.78125	0.0	0.0	0.0	63.93878	158.86401	22.184507	103.310455	-3.3757813	3.9750001	1019.73126	278.82632	67.23985
287.5	583.5	8.485664	53.98975	52.96435	47.620216	37.266792	33.251842	24.284273	15.205346	11.847169	10.80936	8.725308	6.2731953	2.1561267	5.343574	3.2628853	3.0030284	2.2482514	0	724	53.98975	8.485664	-25.890625	0.0	0.0	0.0	63.9335	158.88026	22.110502	103.32295	-3.3597655	3.9437501	1019.7437	278.85815	67.11055
288.5	583.5	8.501105	53.98761	52.9454	47.59901	37.32471	33.401722	24.517508	15.385485	12.025219	10.961995	8.826252	6.299189	2.1916184	5.36537	3.269994	3.015236	2.2265294	0	723	53.98761	8.501105	-26.0	0.0	0.0	0.0	63.92822	158.8965	22.036497	103.33545	-3.34375	3.9125	1019.7562	278.88998	66.981255
289.5	583.5	8.5165205	53.985443	52.935925	47.71565	37.510063	33.658657	25.002632	15.901337	12.4498	11.329707	9.1038475	6.3945	2.2093644	5.4343896	3.2948744	3.033547	2.264543	2	722	53.985443	8.5165205	-25.460938	0.0546875	-8.203125E-8	-6.2890626E-7	63.922947	158.91273	21.961462	103.347916	-3.3285155	3.8874998	1019.76874	278.92197	66.858986
290.5	583.5	8.531935	53.98327	52.935925	47.71565	37.510063	33.658657	25.002632	15.901337	12.4498	11.329707	9.1038475	6.3945	2.2093644	5.4343896	3.2948744	3.033547	2.264543	0	722	53.98327	8.531935	-24.921875	0.109375	-1.640625E-7	-1.2578125E-6	63.917675	158.92897	21.886429	103.36038	-3.3132813	3.8625	1019.78125	278.95398	66.736725
291.5	583.5	8.547349	53.981102	52.879078	47.74746	37.683826	33.862064	25.310501	16.253426	12.723722	11.600288	9.324661	6.446488	2.2093644	5.496144	3.3162005	3.076273	2.2482514	0	721	53.981102	8.547349	-24.382812	0.1640625	-2.4609375E-7	-1.8867188E-6	63.912403	158.9452	21.811396	103.372856	-3.298047	3.8374999	1019.7937	278.98596	66.614456
293.5	583.5	8.578179	53.97676	53.381245	48.34125	38.459976	34.707813	26.215446	17.227812	13.73039	12.592418	10.195299	7.0963354	2.3690774	6.142749	3.83158	3.5645704	2.5795157	0	719	53.97676	8.578179	-23.304688	0.2734375	-4.1015628E-7	-3.1445313E-6	63.90186	158.97769	21.661327	103.3978	-3.2675781	3.7875	1019.8187	279.04993	66.36993
294.5	583.5	8.593595	53.974586	53.18227	48.11858	38.274628	34.59005	26.15947	17.203249	13.600276	12.467534	9.993412	6.793073	2.280348	5.841242	3.56145	3.2593846	2.4111683	0	718	53.974586	8.593595	-22.765625	0.328125	-4.921875E-7	-3.7734376E-6	63.896587	158.99393	21.586294	103.41026	-3.2523437	3.7625	1019.83124	279.08194	66.24766
295.5	583.5	8.60901	53.97242	53.04015	48.033752	38.216705	34.4937	26.1688	17.309694	13.682453	12.543852	10.037575	6.715091	2.298094	5.7867527	3.4939175	3.204451	2.3460016	0	717	53.97242	8.60901	-22.226562	0.3828125	-5.7421875E-7	-4.4023436E-6	63.891315	159.01016	21.51126	103.42273	-3.2371094	3.7375	1019.84375	279.11392	66.1254
296.5	583.5	8.624424	53.970245	53.00225	47.97013	38.274628	34.643578	26.59795	18.177635	14.586399	13.376409	10.763107	6.8797193	2.280348	5.942955	3.540124	3.2288659	2.3568628	2	716	53.970245	8.624424	-21.6875	0.4375	-6.5625E-7	-5.03125E-6	63.88604	159.0264	21.436228	103.4352	-3.221875	3.7125	1019.85626	279.1459	66.00313
278.5	584.5	8.342608	53.99873	53.504417	48.26703	37.730164	33.68007	24.545494	15.172593	11.847169	10.816298	8.775781	6.3338475	2.2004914	5.3871655	3.2984288	3.0030284	2.2862654	0	732	53.99873	8.342608	-24.75	0.0	0.0	0.0	63.97216	158.72862	22.77659	103.20885	-3.5062501	4.2125	1019.625	278.5644	68.231255
279.5	584.5	8.358045	53.99659	53.53284	48.15039	37.730164	33.647953	24.452202	15.197158	11.847169	10.8232355	8.775781	6.3078537	2.2271104	5.3871655	3.280657	3.033547	2.302557	0	731	53.99659	8.358045	-24.875	0.0	0.0	0.0	63.966885	158.74486	22.702587	103.22134	-3.490625	4.18125	1019.63745	278.59595	68.10313
280.5	584.5	8.373483	53.994453	53.57074	48.26703	37.730164	33.647953	24.46153	15.205346	11.874561	10.864863	8.83887	6.385835	2.2359834	5.456185	3.3481896	3.100688	2.3134181	0	730	53.994453	8.373483	-25.0	0.0	0.0	0.0	63.9616	158.76111	22.628584	103.233826	-3.475	4.15	1019.65	278.6275	67.975006
281.5	584.5	8.388919	53.992313	53.580215	48.235218	37.69541	33.66936	24.442871	15.221723	11.915649	10.913429	8.883033	6.4724817	2.2271104	5.5179396	3.3872874	3.1251028	2.3460016	0	729	53.992313	8.388919	-25.125	0.0	0.0	0.0	63.956326	158.77734	22.55458	103.246315	-3.4593751	4.11875	1019.6625	278.65903	67.84688
282.5	584.5	8.404356	53.990177	53.485466	48.171597	37.591152	33.487366	24.284273	15.164405	11.847169	10.850987	8.83887	6.446488	2.2182374	5.503409	3.3695157	3.1312065	2.3460016	2	728	53.990177	8.404356	-25.25	0.0	0.0	0.0	63.951042	158.7936	22.480576	103.25881	-3.44375	4.0875	1019.6749	278.69058	67.71875
283.5	584.5	8.419792	53.988037	53.485466	48.171597	37.591152	33.487366	24.284273	15.164405	11.847169	10.850987	8.83887	6.446488	2.2182374	5.503409	3.3695157	3.1312065	2.3460016	0	728	53.988037	8.419792	-25.375	0.0	0.0	0.0	63.94576	158.80983	22.40657	103.2713	-3.428125	4.05625	1019.6875	278.72214	67.59063
284.5	584.5	8.435229	53.985893	53.400192	48.076164	37.591152	33.53019	24.368237	15.238098	11.929346	10.878739	8.864106	6.420494	2.2359834	5.481613	3.3588526	3.118999	2.3242793	0	727	53.985893	8.435229	-25.5	0.0	0.0	0.0	63.940483	158.82607	22.332567	103.28379	-3.4125	4.025	1019.69995	278.75372	67.4625
297.5	584.5	8.635675	53.957813	52.831703	47.768665	37.96185	34.29029	26.019531	17.236	13.648212	12.495286	10.01234	6.6457744	2.2359834	5.7249985	3.4370482	3.143414	2.3134181	0	716	53.957813	8.635675	-19.8125	0.5625	-8.4375006E-7	-6.46875E-6	63.871902	159.03714	21.361244	103.44593	-3.2093751	3.6750002	1019.8625	279.16406	65.85313
298.5	584.5	8.651088	53.955647	52.84118	47.853493	38.22829	34.643578	26.513985	18.063002	14.490525	13.313967	10.693708	6.8537254	2.3069668	5.906629	3.5045805	3.2105548	2.3568628	0	715	53.955647	8.651088	-19.125	0.625	-9.3750003E-7	-7.1875E-6	63.866634	159.05336	21.28621	103.4584	-3.1937504	3.65	1019.875	279.1956	65.731255
298.5	585.5	8.64692	53.945385	52.623257	47.45056	37.56798	33.733597	25.385136	16.49907	12.956557	11.850055	9.526548	6.533134	2.244856	5.605122	3.3766243	3.1128953	2.291696	0	715	53.945385	8.64692	-17.640625	0.703125	-1.0546876E-6	-8.085937E-6	63.857765	159.04787	21.286259	103.45666	-3.196094	3.6375	1019.8688	279.18134	65.70391
